PAW protein_summary_9 results file
written: Fri Apr 24 07:34:56 2020

 	=subtotal(109,B6:B5436)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
12.0	1	CONT_060|gi|542923|pir||S37780	contaminant	6.1	424	48571	keratin 20, cytoskeletal [Homo sapiens].	10	1	0.100	3	4	3	0	0	1	0.000	0.000	1.023	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13646|K1C13_HUMAN
12.0001	1	CONT_095|gi|547750|sp|P35900|K1CT_HUMAN	redundant	6.1	424	48486	KERATIN, TYPE I CYTOSKELETAL 20 (CYTOKERATIN 20) (K20) (CK 20) [Homo sapiens].	10	1	0.100	3	4	3	0	0	1	0.000	0.000	1.023	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13646|K1C13_HUMAN
12.0002	1	sp|P35900|K1C20_HUMAN	redundant	6.1	424	48486	Keratin, type I cytoskeletal 20 OS=Homo sapiens (Human) OX=9606 GN=KRT20 PE=1 SV=1	10	1	0.100	3	4	3	0	0	1	0.000	0.000	1.023	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13646|K1C13_HUMAN
13.0	1	CONT_073|gi|87303|pir||JS0487	contaminant	78.2	482	53561	cytokeratin 8 (version 1) [Homo sapiens].	380	90	0.237	114	154	112	27	38	25	88.337	119.589	86.465	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, CONT_164|gi|1419564|gnl|PID|e251594, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN
13.0001	1	CONT_103|gi|2119212|pir||I37982	redundant	78.1	483	53704	Keratin 8 - human [Homo sapiens].	380	90	0.237	114	154	112	27	38	25	88.337	119.589	86.465	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, CONT_164|gi|1419564|gnl|PID|e251594, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN
13.0002	1	CONT_179|gi|2506774|sp|P05787|K2C8_HUMAN	redundant	78.1	483	53674	KERATIN, TYPE II CYTOSKELETAL 8 (CYTOKERATIN 8) (K8) (CK 8) [Homo sapiens].	380	90	0.237	114	154	112	27	38	25	88.337	119.589	86.465	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, CONT_164|gi|1419564|gnl|PID|e251594, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN
13.0003	1	sp|P05787|K2C8_HUMAN	redundant	78.1	483	53704	Keratin, type II cytoskeletal 8 OS=Homo sapiens (Human) OX=9606 GN=KRT8 PE=1 SV=7	380	90	0.237	114	154	112	27	38	25	88.337	119.589	86.465	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, CONT_164|gi|1419564|gnl|PID|e251594, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN
14.0	1	CONT_074|gi|1070608|pir||KRHU9	contaminant	91.8	400	44091	keratin 19, type I, cytoskeletal [Homo sapiens].	407	8	0.020	107	202	98	4	2	2	69.609	110.811	76.551	CONT_046|gi|88041|pir||A31994, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, CONT_157|gi|1245902|bbs|175065, CONT_167|gi|1668744|gnl|PID|e195475, CONT_177|gi|2134977|pir||S60152, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|P35527|K1C9_HUMAN
15.0	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN	contaminant	74.7	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	144	118	0.819	35	76	33	27	64	27	32.777	73.438	30.491	CONT_046|gi|88041|pir||A31994, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN
15.0001	1	CONT_077|gi|106851|pir||S06889	redundant	75.7	424	47333	keratin 18, cytoskeletal (fragment) [Homo sapiens].	144	118	0.819	35	76	33	27	64	27	32.777	73.438	30.491	CONT_046|gi|88041|pir||A31994, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN
15.0002	1	sp|P05783|K1C18_HUMAN	redundant	74.7	430	48057	Keratin, type I cytoskeletal 18 OS=Homo sapiens (Human) OX=9606 GN=KRT18 PE=1 SV=2	144	118	0.819	35	76	33	27	64	27	32.777	73.438	30.491	CONT_046|gi|88041|pir||A31994, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN
16.0	1	CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	contaminant	44.4	644	66017	KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens].	128	0	0.000	33	68	27	0	0	0	1.000	1.000	0.500	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P35908|K22E_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7Z794|K2C1B_HUMAN
17.0	1	CONT_089|gi|71536|pir||KRHU2	contaminant	35.9	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	77	0	0.000	19	44	14	0	0	0	1.000	1.000	0.500	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P35908|K22E_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7Z794|K2C1B_HUMAN
18.0	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN	contaminant	79.2	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	236	137	0.581	71	79	86	45	41	51	64.319	65.687	78.276	CONT_046|gi|88041|pir||A31994, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|P35527|K1C9_HUMAN, sp|Q9C075|K1C23_HUMAN
18.0001	1	sp|Q04695|K1C17_HUMAN	redundant	79.2	432	48105	Keratin, type I cytoskeletal 17 OS=Homo sapiens (Human) OX=9606 GN=KRT17 PE=1 SV=2	236	137	0.581	71	79	86	45	41	51	64.319	65.687	78.276	CONT_046|gi|88041|pir||A31994, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|P35527|K1C9_HUMAN, sp|Q9C075|K1C23_HUMAN
19.0	1	CONT_101|gi|125081|sp|P19012|K1CO_HUMAN	contaminant	52.2	456	49167	KERATIN, TYPE I CYTOSKELETAL 15 (CYTOKERATIN 15) (K15) (CK 15) [Homo sapiens].	100	33	0.330	38	35	27	19	7	7	28.859	15.248	11.487	CONT_046|gi|88041|pir||A31994, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, CONT_157|gi|1245902|bbs|175065, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|P35527|K1C9_HUMAN
19.0001	1	sp|P19012|K1C15_HUMAN	redundant	52.2	456	49211	Keratin, type I cytoskeletal 15 OS=Homo sapiens (Human) OX=9606 GN=KRT15 PE=1 SV=3	100	33	0.330	38	35	27	19	7	7	28.859	15.248	11.487	CONT_046|gi|88041|pir||A31994, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_151|gi|1000379|bbs|168429, CONT_156|gi|1363944|pir||JC4313, CONT_157|gi|1245902|bbs|175065, CONT_167|gi|1668744|gnl|PID|e195475, sp|P02533|K1C14_HUMAN, sp|P08727|K1C19_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|P35527|K1C9_HUMAN
20.0	1	CONT_102|gi|88044|pir||S01068	contaminant	8.8	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	28	0	0.000	10	12	6	0	0	0	0.000	0.000	0.000	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN
20.0001	1	CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	redundant	6.7	534	57265	KERATIN, TYPE II CYTOSKELETAL 4 (CYTOKERATIN 4) (K4) (CK4) [Homo sapiens].	28	0	0.000	10	12	6	0	0	0	0.000	0.000	0.000	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN
20.0002	1	sp|P19013|K2C4_HUMAN	redundant	6.9	520	56143	Keratin, type II cytoskeletal 4 OS=Homo sapiens (Human) OX=9606 GN=KRT4 PE=1 SV=5	28	0	0.000	10	12	6	0	0	0	0.000	0.000	0.000	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN
21.0	1	CONT_120|gi|125108|sp|P08729|K2C7_HUMAN	contaminant	58.2	469	51334	KERATIN, TYPE II CYTOSKELETAL 7 (CYTOKERATIN 7) (K7) (CK 7) [Homo sapiens].	340	12	0.035	97	149	94	2	7	3	12.061	32.455	18.519	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, CONT_164|gi|1419564|gnl|PID|e251594, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN
21.0001	1	CONT_140|gi|88045|pir||S05602	redundant	58.2	469	51364	keratin K7, type II, epithelial, 55K [Homo sapiens].	340	12	0.035	97	149	94	2	7	3	12.061	32.455	18.519	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, CONT_164|gi|1419564|gnl|PID|e251594, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P35908|K22E_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN
