New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri Apr 24 07:35:32 2020
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_A	Total_B	Total_C	Unique_A	Unique_B	Unique_C	Corrected_A	Corrected_B	Corrected_C	PSMs_Used_A	TotInt_126C_A	TotInt_127N_A	TotInt_127C_A	TotInt_128N_A	TotInt_128C_A	TotInt_129N_A	TotInt_129C_A	TotInt_130N_A	TotInt_130C_A	TotInt_131N_A	TotInt_131C_A	PSMs_Used_B	TotInt_126C_B	TotInt_127N_B	TotInt_127C_B	TotInt_128N_B	TotInt_128C_B	TotInt_129N_B	TotInt_129C_B	TotInt_130N_B	TotInt_130C_B	TotInt_131N_B	TotInt_131C_B	PSMs_Used_C	TotInt_126C_C	TotInt_127N_C	TotInt_127C_C	TotInt_128N_C	TotInt_128C_C	TotInt_129N_C	TotInt_129C_C	TotInt_130N_C	TotInt_130C_C	TotInt_131N_C	TotInt_131C_C
34	1	REV_A7E2Y1	 	 	REV_A7E2Y1, sp|P35241|RADI_HUMAN	reversed	1.2	1983	225842	REVERSED.	4	3	0.750	2	1	1	1	1	1	1.050	1.000	1.000	1	1494.348999	3129.904053	2180.271484	2568.487793	4035.516602	2582.0776370000003	2901.180908	150.0	150.0	2170.203857	150.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	1	REV_O14686	 	 	REV_O14686, sp|P28066|PSA5_HUMAN	reversed	0.3	5537	593383	REVERSED.	13	9	0.692	2	5	6	0	4	5	0.000	4.160	5.172	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	6865.153687	45380.128418	64276.823242	21694.428466999998	31082.470215	35499.211914	19779.639892	16190.664064	20656.895019	31239.474609999997	150.0	5	15876.698364	65585.581543	135624.625	85215.055177	129039.993164	193294.882812	209957.15039	44595.062988	18624.488769	66912.32568400001	150.0
36	1	REV_O15020	 	 	 	reversed	0.8	2390	271322	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	31144.397461	52871.0	58677.103516	42834.896484	69704.880859	203762.503906	114567.777344	37205.413086	20839.842774	56512.652344	150.0
37	1	REV_O15078	 	 	REV_O15078, sp|P38646|GRP75_HUMAN, sp|Q9BZE4|NOG1_HUMAN	reversed	1.5	2479	290382	REVERSED.	6	1	0.167	1	4	1	0	0	1	0.003	0.041	1.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	150.0	2175.720215	1975.539551	1451.413086	2447.990479	3401.8164060000004	4678.959473	2926.358643	150.0	2231.277344	150.0
38	1	REV_O94986	 	 	 	reversed	1.6	1710	195624	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	17418.117188	55196.276367	262644.780273	230419.105469	718043.071289	281376.853516	216969.890625	361866.092285	34540.561523000004	254147.077148	150.0
39	1	REV_P02679	 	 	REV_P02679, sp|P02679|FIBG_HUMAN	reversed	3.3	453	51511	REVERSED.	10	1	0.100	5	2	3	1	0	0	1.032	0.000	0.000	1	57096.898438	173678.625	35901.726562	389839.25	86028.742188	43094.464844	108591.27343800002	33871.660156	52469.992188	166164.125	150.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	1	REV_P0DKB5	 	 	 	reversed	11.3	382	40399	REVERSED.	8	8	1.000	3	2	3	3	2	3	3.000	2.000	3.000	3	50070.674805	57521.570311999996	59399.988281	63794.391602	141919.673829	82257.677735	77526.968749	24007.154785000002	1225001.137695	216996.613281	49037.636719	2	26261.377929000002	10239.54541	13627.387207	36421.029785	19605.704589	1136607.46875	150.0	132636.380859	21342.120605	93657.625	150.0	3	95661.45007300001	34137.378906000005	63103.99999899999	112407.02636599999	33560.575196	53827.496094	129229.481445	58465.513182999995	64131.11596799999	149883.07324200004	150.0
41	1	REV_P10412	 	 	REV_P10412, REV_P16401, REV_P16402	reversed	10.0	219	21865	REVERSED.	3	1	0.333	0	2	1	0	1	0	0.000	1.333	0.004	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	4358.25293	13672.279297	65948.765625	14006.088866999999	33798.417969	48089.828125	10749.237305	10072.131836	11889.483398	29345.869141000003	150.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	1	REV_P16402	 	 	REV_P10412, REV_P16402	reversed	7.7	221	22350	REVERSED.	3	2	0.667	0	3	0	0	2	0	0.000	2.667	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	7408.649170000001	26479.316405999998	17301.008544999997	10306.010498	10062.572754	19324.231445999998	21094.228515000003	10233.001952999999	10343.114502	29300.404297	150.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	1	REV_P17038	 	 	REV_P17038, REV_Q8TD23	reversed	2.6	809	94124	REVERSED.	2	1	0.500	0	0	2	0	0	1	0.000	0.000	1.333	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	44233.421875	13824.50293	58980.71875	15378.789062	73721.609375	65703.976562	67520.445312	141516.375	108238.71875	85120.671875	3629.2448729999996
45	1	REV_P20929	 	 	 	reversed	0.5	6669	772905	REVERSED.	3	3	1.000	0	1	2	0	1	2	0.000	1.000	2.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	7716.116211	12686.886719	2114.02124	18586.794922	5118.859375	10018.80957	36675.375	40055.492188	19763.861328	14872.799805	910.7608029999999	2	154257.56054700003	15094.446777000001	42442.659179	97139.300781	27756.831543	37418.989258	39463.023438	22604.817871	302054.287109	58294.360352	13869.384766
46	1	REV_P29320	 	 	 	reversed	2.6	983	110129	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	341903.546875	47582.728027	88072.117188	39040.248535	51399.4375	52716.03125	81716.25	86587.140625	65721.123047	71872.980469	1348.5717769999999
47	1	REV_P45954	 	 	 	reversed	6.0	432	47485	REVERSED.	4	4	1.000	1	2	1	1	2	1	1.000	2.000	1.000	1	382098.59375	211364.375	208091.921875	281988.28125	3209445.0	330028.9375	368654.96875	35262.1875	15390.165038999998	338129.75	150.0	2	28791.354492	63596.963379	527861.402344	92314.71875	106037.739258	315864.994141	182324.568359	67510.82519499998	63956.689453	180373.733398	693.495178	1	28263.074219	178740.96875	80165.617188	315439.78125	909438.875	426354.25	832210.875	84892.359375	51416.101562	167816.828125	150.0
48	1	REV_P53355	 	 	REV_P53355, sp|P11310|ACADM_HUMAN	reversed	1.8	1430	160044	REVERSED.	3	2	0.667	0	2	1	0	1	1	0.000	1.037	1.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	8796.15625	16351.654297	15335.15332	7307.791015999999	12174.694336	32400.734375	8835.908203	5755.329102000001	7454.790526999999	18058.542969	150.0	1	27328.878906	25501.576172	30664.873047000005	110218.828125	39229.070312	47576.054688	85535.015625	30480.814452999995	29106.101562	36023.667969	150.0
49	1	REV_P61225	 	 	 	reversed	10.4	183	20504	REVERSED.	4	4	1.000	0	2	2	0	2	2	0.000	2.000	2.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	49546.226562	461598.125	603482.125	274375.90625	253649.6875	395790.40625	142062.796875	131539.984375	119121.84375	191897.21875	150.0	2	67754.960937	560774.625	486779.037354	625380.39801	590202.18396	1504767.499023	1776701.120728	339939.219727	91963.954101	446653.172852	150.0
50	1	REV_Q02040	 	 	 	reversed	2.2	695	80735	REVERSED.	6	6	1.000	0	3	3	0	3	3	0.000	3.000	3.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	51333.046875	46963.151366000006	128313.01855499999	103361.406739	99846.695313	71247.575195	121933.63867199999	69553.804688	92142.778809	204682.22461	150.0	3	64797.145018999996	48099.108032	59534.85852000001	52119.52587899999	244931.519531	70061.024902	370120.46679700003	230439.55163700006	137838.537599	117114.563721	5352.776855
51	1	REV_Q03468	 	 	 	reversed	1.1	1493	168414	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	56937.71484400001	56244.14599600001	88557.660645	35312.220703	158330.138672	53905.745117	174736.855469	194333.989014	61485.33154299999	53035.269532000006	3010.091553
52	1	REV_Q09666	 	 	 	reversed	0.4	5890	629094	REVERSED.	6	6	1.000	2	1	3	2	1	3	2.000	1.000	3.000	2	192185.398438	218094.046875	36280.879882999994	482157.375	495482.0625	116650.089844	387687.625	199660.078125	42523.142578	241535.132812	150.0	1	152567.828125	222215.203125	131438.890625	31964.859375	64991.12109400001	76956.171875	94944.179688	385177.4375	149704.265625	224478.78125	8289.46582	3	473865.351563	347427.902344	455661.820313	468848.753906	782446.007813	533452.833985	1075647.964844	852050.328125	395804.742187	940575.46875	150.0
53	1	REV_Q13029	 	 	 	reversed	0.8	1718	188913	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	44898.355467999994	56866.082031000005	79404.498047	86985.277344	50317.345703000006	74390.63086	114585.886719	33543.989258	19533.092285	72949.154297	150.0
54	1	REV_Q13255	 	 	 	reversed	1.7	1194	132356	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	28078.898193	7989.000244	28889.879883	33880.047851	14997.022216	48114.596192	34046.89209	17288.103759999998	11529.425781999998	22243.524658000002	150.0
55	1	REV_Q13370	 	 	 	reversed	2.0	1112	124332	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	9786.62793	16557.387207	23167.134765000003	18175.915039	21663.640135999998	18696.64209	23412.659667999997	16540.537840999998	17041.036621	22397.284179000002	150.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
